Artikel	Artikel
Diskussion	Diskussionen
Jahr	Jahre
Zeit	Zeiten
Mai	Maie
Stadt	Städte
Teil	Teile
Berlin	-
Ende	Enden
Deutschland	-
August	Auguste
Band	Bänder
Gemeinde	Gemeinden
Januar	Januare
März	Märzen
Oktober	Oktober
Universität	Universitäten
September	September
Juni	Junis
April	Aprile
Kirche	Kirchen
Juli	Julis
Dezember	Dezember
Jahrhundert	Jahrhunderte
Geschichte	Geschichten
November	November
Verlag	Verlage
Platz	Plätze
Name	Namen
Seite	Seiten
Februar	Februare
Mitglied	Mitglieder
Film	Filme
Relevanz	-
Saison	Saisons
Ort	Orte
Art	Arten
München	-
Benutzer	Benutzer
Benutzerin	Benutzerinen
Leben	Leben
Sohn	Söhne
Familie	Familien
Mensch	Menschen
Friedrich	Friedriche
Titel	Titel
Fall	Fälle
Liste	Listen
Form	Formen
Wien	-
Karl	Karls
Hans	Hänse
Meter	Meter
Beispiel	Beispiele
Johann	Johanns
Frage	Fragen
Schloss	Schlösser
Gruppe	Gruppen
Unternehmen	Unternehmen
Peter	Peter
Anfang	Anfänge
Arbeit	Arbeiten
Bereich	Bereiche
Frau	Frauen
Bild	Bilder
Tod	Tode
Wilhelm	Wilhelm
Land	 Länder
Gebiet	Gebiete
Bedeutung	Bedeutungen
König	Könige
Welt	Welten
Straße	Straßen
Person	Personen
Begriff	Begriffe
Name	Namen
Kategorie	Kategorien
Mitte	Mitten
Heinrich	Heinrichs
